episode,total_reward
1,-28.475641287787916
2,-20.885004068991233
3,-24.737766890116546
4,-27.90453624332912
5,-27.881952688450845
6,-25.808506798164423
7,-23.104280447871165
8,-25.33438805119243
9,-27.076066195915615
10,-28.933115240121026
11,-28.600265342494236
12,-27.600795924714426
13,-32.877709297497965
14,-24.178949493580205
15,-22.974978403872747
16,-25.030686487502212
17,-24.608507865800185
18,-25.72869174848423
19,-25.974611475411336
20,-23.189955043933246
21,-28.99139262898058
22,-26.747473483625598
23,-30.779319796578754
24,-25.48273144631216
25,-49.53447277103518
26,-51.58050401761169
27,-71.33989949991192
28,-19.956902918820013
29,-33.396222569943006
30,-17.4710729524111
31,-25.219419854725047
32,-25.187361795624
33,-18.978093005082634
34,-23.184844478608444
35,-20.996380220298114
36,-19.243471982862914
37,-22.757660957217077
38,-18.65094973583667
39,-20.109990600449898
40,-16.600490828237625
41,-17.364940521819708
42,-17.560862121609162
43,-15.263925464991145
44,-21.664845560024
45,-15.784957046482544
46,-18.22136670764617
47,-21.01325811640322
48,-20.85869528882234
49,-19.82439904999712
50,-19.32136831354535
51,-20.75458395450203
52,-15.161574442283177
53,-20.336447631408348
54,-17.724890438404543
55,-20.810844262850498
56,-20.310467618676665
57,-16.828948535838656
58,-19.090200641048373
59,-21.177980340391706
60,-15.81296074405019
61,-14.94301062196492
62,-19.556493551892224
63,-18.149201786938626
64,-23.622457955659332
65,-22.18299897254887
66,-18.48194485968439
67,-22.830746898027684
68,-18.813189265993977
69,-20.426666417549324
70,-24.34629749032898
71,-23.36823918121719
72,-15.303615017449284
73,-25.12422601218623
74,-20.50961900849152
75,-21.118776229362012
76,-15.60549162178949
77,-30.063787643440385
78,-26.263855658692123
79,-23.412328303429867
80,-26.385112369030992
81,-19.609482331514585
82,-20.74741466067394
83,-24.03650852059387
84,-18.380920810144474
85,-26.83379306630969
86,-21.709398574072672
87,-17.64487193622448
88,-18.992557672292897
89,-18.96787331556711
90,-22.526774684926927
91,-22.16314522438015
92,-21.233443212587773
93,-16.033100370757044
94,-25.55934477634014
95,-27.363746985557878
96,-17.364528787335814
97,-21.691888350600262
98,-16.971581471273993
99,-16.407900910437526
100,-28.796023578680266
101,-18.448971352474842
102,-17.106625145514165
103,-20.354172620394518
104,-25.185894393206176
105,-24.083722184094658
106,-22.819034968048612
107,-16.114470372865238
108,-23.42218759570651
109,-19.469261075629426
110,-24.60882190120033
111,-16.942338084225273
112,-17.903446329665886
113,-19.329749019097328
114,-18.464795339044
115,-19.192533763370072
116,-19.501679723073234
117,-26.73769046567682
118,-23.911707447743453
119,-16.7257778369627
120,-22.947484070529903
121,-25.015375183726416
122,-27.67688157437319
123,-24.6949445070783
124,-24.482612691252783
125,-23.77685736261568
126,-15.092279627422228
127,-16.72620659470371
128,-18.992474042750743
129,-22.76084746504917
130,-18.039093992444847
131,-17.860292647664977
132,-24.305561374923933
133,-22.159086048195302
134,-26.578015439993102
135,-21.010107230480326
136,-21.97948823161081
137,-20.982032617514115
138,-21.338074707796096
139,-21.370827677664387
140,-21.824456791455113
141,-20.580038793537806
142,-14.15121121237005
143,-20.13079284173285
144,-19.983979029016865
145,-15.308845982529986
146,-20.183495045734055
147,-22.822076284583545
148,-19.94107073029058
149,-14.420529951384712
150,-14.515459991880608
151,-22.75820066932105
152,-14.595035972448063
153,-15.837154197338723
154,-21.74299334442985
155,-16.641709690574206
156,-17.8483223837399
157,-17.417788373061313
158,-15.039866545211886
159,-19.520100887963714
160,-21.49291572601618
161,-19.938302194140213
162,-22.58832056953696
163,-19.742533424268878
164,-21.707405358122706
165,-14.917846479784203
166,-17.862630774408853
167,-14.795240922670553
168,-15.753564430839752
169,-16.535098070212467
170,-22.75606851979883
171,-19.828447246410875
172,-15.215154289480626
173,-17.195304589088142
174,-18.368086883931866
175,-14.647993525810648
176,-15.025683587031667
177,-17.357764597304588
178,-22.176338071689834
179,-20.636151854324396
180,-20.697862554942944
181,-19.230788098885967
182,-23.666090384184557
183,-16.919422953662984
184,-24.688043219123266
185,-22.76667983628063
186,-16.88923627024076
187,-20.683967591513383
188,-15.400601912322319
189,-21.04219985337795
190,-20.455354785531746
191,-16.30974080231421
192,-24.40477769818233
193,-16.149081215692433
194,-16.567733513890957
195,-15.334677042230064
196,-17.744369723113582
197,-19.639116555944682
198,-21.528629743807834
199,-19.826269467223078
200,-19.56045455950489
201,-14.89419811550238
202,-19.444049489153066
203,-19.58500667525797
204,-17.226758083139732
205,-20.500090764074407
206,-22.825503644889807
207,-16.643241585474968
208,-19.839768364183726
209,-15.772941996606463
210,-16.565562221044388
211,-18.58524171484532
212,-17.129390629099994
213,-15.41283671183556
214,-20.401962073188923
215,-15.534117079379453
216,-26.02267007066538
217,-21.266924421041676
218,-20.490691424678992
219,-21.386316750835093
220,-18.727399609355388
221,-16.179284601465223
222,-21.639022864180948
223,-18.636155411966314
224,-19.18758512089134
225,-18.482221268343924
226,-17.31049198585167
227,-21.22771318739891
228,-21.629211718464106
229,-18.91481853413916
230,-20.56515420602865
231,-18.275978198923678
232,-22.062099986568676
233,-21.11100358847085
234,-14.980546356198596
235,-18.53404088825664
236,-23.053933662036727
237,-25.952233959923632
238,-27.614998116891268
239,-24.412794023076444
240,-21.56640684395917
241,-17.31015974787054
242,-16.49192866306109
243,-18.68842595731573
244,-21.536461129382282
245,-17.69474493333591
246,-18.242894323290255
247,-20.88361402628197
248,-16.014074448907742
249,-21.332008360049727
250,-16.74335931680847
251,-19.724483823161066
252,-21.928276047460773
253,-26.405140744814943
254,-27.500341433276652
255,-27.816113306589546
256,-18.36977679157195
257,-19.594431021704075
258,-20.057846334810087
259,-18.393200463079886
260,-17.99158485225153
261,-18.263689092868795
262,-19.216174959116863
263,-21.58904448701687
264,-22.958864895528638
265,-20.444983140627134
266,-18.437950254504102
267,-19.37383173588823
268,-30.85432726641716
269,-23.615529998559513
270,-25.57471777888292
271,-26.896514586043015
272,-28.747853680879913
273,-19.169186995559983
274,-22.747229863996687
275,-22.622433399752985
276,-30.61869961893448
277,-19.644294003600827
278,-18.83704045419722
279,-24.48815632657398
280,-36.19336867700481
281,-36.57829036718306
282,-38.614617687370725
283,-38.66423480348887
284,-25.78258006783327
285,-18.56235727521763
