episode,total_reward
1,-4.668182975389457
2,-4.725180925132673
3,-4.5143901265647095
4,-6.755148925503324
5,-4.181676826633503
6,-9.298158999786619
7,-7.9772393519879
8,-9.69170620626614
9,-7.156670769343752
10,-10.77434731551703
11,-13.427468858357868
12,-4.636439661317198
13,-6.055448787214461
14,-11.517574644066379
15,-9.421060915775435
16,-8.03238114458642
17,-8.568472383101533
18,-2.9469102414281263
19,-7.096584474309107
20,-5.236752429777081
21,-6.1534335720871
22,-9.360192379040734
23,-6.607484646993366
24,-3.1161449328629685
25,-1.353140847324131
26,-1.051117228806047
27,-2.3346953964017567
28,-4.090662889035596
29,-3.0684123533023815
30,-2.956180507110316
31,-1.972152796128209
32,-4.126566861291126
33,-1.754850912753409
34,-3.802074026590672
35,-3.9333503779065584
36,-3.63997189475245
37,-3.4458659182656652
38,-3.418498852468205
39,-2.3864018989834617
40,-3.9241128978318223
41,-1.4280263441966534
42,-4.113199239541968
43,-4.0413291778157845
44,-3.7374515557709094
45,-2.652012482988043
46,-2.9937848918636383
47,-2.9838292667240767
48,-2.5943025993379223
49,-2.216894729704297
50,-2.712226358172476
51,-3.344239253275356
52,-3.1112870103962007
53,-3.628912603169792
54,-2.431056941703728
55,-3.7394175836269294
56,-3.5751219567109076
57,-2.477928525077224
58,-2.360260612690917
59,-3.2844873648703943
60,-4.095868094842503
61,-4.109654497064404
62,-3.2269501673307817
63,-2.989677264512053
64,-4.099541912690269
65,-4.186493513915237
66,-3.53809474287434
67,-3.3872387432914324
68,-3.303640880633438
69,-3.751863778737433
70,-3.5228816979133053
71,-2.570630279980861
72,-3.3965562935188833
73,-3.997672136022242
74,-4.155449639772524
75,-2.8800330027205727
76,-3.710392612467804
77,-3.7599684525480184
78,-4.985706737410361
79,-2.1151885171207443
80,-3.5624113661649774
81,-2.87007386238788
82,-2.8643122412848827
83,-2.983113311000611
84,-1.5282001958822233
85,-2.6591788687954203
86,-3.8934566599116005
87,-2.693757816246802
88,-2.924688692879472
89,-3.5093066302578153
90,-1.925814556501693
91,-3.207389305762858
92,-3.7124907335592483
93,-3.339528876094256
94,-3.0894531448149296
95,-2.5539360189830767
96,-2.8888751108351114
97,-2.8000547956037902
98,-4.072609953012591
99,-2.9900770948077398
100,-4.232954589019244
101,-3.8059035322487524
102,-3.634385629463354
103,-3.3325526180086404
104,-2.799230266031433
105,-3.5814935526819958
106,-2.4971180956810786
107,-3.560967345935632
108,-3.2080719578313546
109,-2.466058433985529
110,-3.876457352187222
111,-2.0142817375645308
112,-2.975711489983322
113,-3.4221075254749755
114,-3.1396539256337084
115,-4.47826181231037
116,-4.75451350292951
117,-2.830158151244806
118,-4.631013018533798
119,-2.5658757255899736
120,-3.0970849573837564
121,-1.8164358221857726
122,-3.2008072277808135
123,-3.3548662846790602
124,-2.633569896420112
125,-2.2623035716386877
126,-3.1596327279885696
127,-4.169475805144458
128,-3.46178143648245
129,-2.6310874688024706
130,-2.276477928438065
131,-3.2846293102796738
132,-2.682309922375992
133,-3.0561624608382214
134,-3.292437254836872
135,-2.8634480654006653
136,-3.4294258177299026
137,-3.0967605048191755
138,-2.9518738344104465
139,-3.4180387882569434
140,-3.892680695960548
141,-3.4186419636606513
142,-3.1748632480707895
143,-2.6345897220726417
144,-1.9284596872805242
145,-3.6697020290605886
146,-2.3459590160992967
147,-1.5256870721538522
148,-4.306712616960554
149,-3.1444506815264734
150,-3.8458900361139374
151,-3.356914285449614
152,-3.4674250725208204
153,-3.1777416451511336
154,-4.218684714103454
155,-3.412987491779951
156,-2.6213331170311074
157,-3.9875349232586172
158,-3.011519786894906
159,-2.4700359246939034
160,-3.8555686330404813
161,-3.4973539507783338
162,-3.168812874873288
163,-2.257157756234383
164,-2.738768075178071
165,-4.520118472056685
166,-2.279360191737158
167,-3.5036811682736415
168,-3.352643349472207
169,-3.0983992290224616
170,-3.8077279816295135
171,-2.78147607615308
172,-3.8229861191443506
173,-3.9523495204323194
174,-3.382362788257788
175,-3.0936405343750897
176,-4.22500934390685
177,-2.793328291884991
178,-3.8903657600154853
179,-2.8947242785978116
180,-4.348673988805526
181,-3.4762704321317583
182,-3.4297243179047774
183,-3.593428508248876
184,-3.606734180263472
185,-3.8184788657729856
186,-3.2359718128706194
187,-2.520443475429505
188,-2.9398156283567736
189,-2.715695860077852
190,-3.439759336681333
191,-4.2284858097979505
192,-3.03067615558097
193,-3.1925805126247417
194,-3.737455600104962
195,-3.8716606285824007
196,-3.234715448951253
197,-2.852815727159335
198,-3.3078684759136774
199,-3.5109233049846136
200,-3.625620343420655
201,-2.733530348895425
202,-3.280986921858349
203,-2.701882905255607
204,-2.9646757446329346
205,-3.1160842158014646
206,-2.260441979760393
207,-3.2116368247830738
208,-3.3583102856251594
209,-3.9753528563471834
210,-3.419906834660069
211,-3.464718575884347
212,-2.4054140900469125
213,-2.504176338915581
214,-3.425679517570602
215,-2.737435993707889
216,-2.812121011419925
217,-3.542417835504637
218,-3.595743388419805
219,-3.50076392540633
220,-2.8867566164905503
221,-3.505663755175242
222,-4.071383083765514
223,-3.0455076940840966
224,-3.296745983373437
225,-4.71322717376299
226,-3.3632012033846688
227,-3.468488011476203
228,-3.3672502284759327
229,-5.187678347999432
230,-3.4638286341259867
231,-3.2457504546368083
232,-6.746302453337352
233,-3.662145765005395
234,-2.8398008682298816
235,-2.8481963420645817
236,-3.6767706571002083
237,-4.565362024036869
238,-3.8292629318417752
239,-3.2108500494479872
240,-4.5630959982372135
241,-3.4557692284630805
242,-3.148415766466006
243,-3.5115662010624904
244,-2.8214459517974677
245,-4.748154766261003
246,-3.1310377744184845
247,-4.746429887895118
248,-4.355510856503224
249,-4.773948795517363
250,-3.7369354555576324
251,-4.626353127488999
252,-3.6172314206890746
253,-3.2372674214353254
254,-4.849411597609826
255,-3.8079878895874613
256,-4.8031629608226645
257,-3.6181601702609796
258,-3.828313797398665
259,-6.967255913260294
260,-2.8530509718775634
261,-3.0399580840464426
262,-3.128335107502242
263,-3.098384815982001
264,-3.878652436420905
265,-3.9103754333308025
266,-3.592533796017799
267,-3.083512912902932
268,-3.8877690008113372
269,-3.5371295134393077
270,-2.800803220177309
271,-3.084380458796053
