episode,total_reward
1,-1408.291239336133
2,-1485.7695652395487
3,-1491.1245508939028
4,-1484.86222435534
5,-1484.706088848412
6,-1443.8900192677975
7,-1188.1354690864682
8,-1039.1162727996707
9,-802.1588856056333
10,-1268.7333460003138
11,-1149.8910169675946
12,-1346.043178409338
13,-1484.2845226451755
14,-1465.12666387856
15,-1099.133686453104
16,-762.3191384896636
17,-1426.7096466720104
18,-1189.0409538075328
19,-1060.47969635576
20,-1138.3215099275112
21,-1040.8749605566263
22,-802.6735357791185
23,-979.7723567783833
24,-1338.6983316615224
25,-900.5982831120491
26,-1070.6576708704233
27,-1238.05858053267
28,-909.383776538074
29,-1130.2246050164104
30,-1358.0779860913754
31,-1096.1284240856767
32,-1128.0753052532673
33,-1284.3067335784435
34,-1225.7567002251744
35,-1098.6770851388574
36,-1079.2672507464886
37,-1451.6369414404035
38,-1158.0984007194638
39,-1355.7219928354025
40,-1197.801660373807
41,-1275.0277179405093
42,-1226.7235421836376
43,-1195.2324637845159
44,-1306.4339018166065
45,-1207.8652340620756
46,-1114.8702524006367
47,-1226.7103839740157
48,-1309.6540732383728
49,-1137.353583857417
50,-750.5081108734012
51,-703.7037365064025
52,-1078.3805605396628
53,-847.6641838476062
54,-1347.6095062717795
55,-881.777054131031
56,-1054.3588481247425
57,-606.5765407159925
58,-1215.885466657579
59,-926.0311460271478
60,-1049.6369458884
61,-756.9642632827163
62,-834.4790383204818
63,-943.8546626493335
64,-1132.4314438551664
65,-1448.3019854724407
66,-1454.121586754918
67,-701.3269196599722
68,-605.7726999819279
69,-1324.4583677873015
70,-611.6593890935183
71,-1223.262419641018
72,-984.6842430830002
73,-1245.7655392289162
74,-566.9689882844687
75,-1185.2989178672433
76,-811.497049562633
77,-840.8330989480019
78,-601.4367526769638
79,-321.1745596528053
80,-525.9184949398041
81,-1076.18758546561
82,-1307.1980248093605
83,-548.4227028563619
84,-915.0641821175814
85,-848.0035930499434
86,-368.85795027017593
87,-1076.5799185484648
88,-994.004332691431
89,-721.8011460900307
90,-1233.0628819912672
91,-1333.0671056881547
92,-774.6142548397183
93,-1222.013766400516
94,-978.0840778201818
95,-1018.7525859177113
96,-1453.569688796997
97,-971.4687731638551
98,-830.4255428761244
99,-644.002533480525
100,-882.8595359399915
101,-1371.9556993171573
102,-680.9377441033721
103,-1199.9438532665372
104,-624.6018130406737
